month_start,week_ending,Sydney,Canberra,Melbourne,Brisbane,Adelaide,Perth,Darwin,Hobart
2025-08-01,2025-08-31,180.2,193.4,185.3,186.5,179.1,179.7,187.1,185.3
2025-09-01,2025-09-07,180.4,193.3,185.7,186.8,179.7,179.9,188.5,185.7
2025-09-01,2025-09-14,181.0,193.2,186.3,187.2,179.7,179.9,189.1,184.8
2025-09-01,2025-09-21,181.1,193.1,186.6,187.4,179.1,179.8,189.2,184.7
2025-09-01,2025-09-28,180.6,193.1,187.2,186.1,180.5,179.9,189.4,184.9
2025-10-01,2025-10-05,180.6,193.4,186.4,185.7,180.1,179.9,189.6,185.6
2025-10-01,2025-10-12,180.6,193.2,187.5,185.6,179.8,179.3,189.5,185.7
2025-10-01,2025-10-19,180.0,193.1,185.4,185.1,179.3,178.7,189.1,185.0
2025-10-01,2025-10-26,179.8,193.1,185.1,185.0,180.2,178.4,188.9,184.5
2025-11-01,2025-11-02,180.5,193.2,186.5,187.2,180.7,179.9,188.5,185.8
2025-11-01,2025-11-09,181.7,193.4,187.0,188.3,181.6,181.9,188.6,187.2
2025-11-01,2025-11-16,185.3,195.7,190.5,190.9,184.3,184.6,189.7,188.5
2025-11-01,2025-11-23,188.5,199.2,193.2,193.2,188.4,187.0,191.5,191.3
2025-11-01,2025-11-30,189.2,201.8,194.1,194.9,189.8,188.0,192.4,193.9
2025-12-01,2025-12-07,188.6,202.4,194.0,194.7,188.1,187.0,191.4,194.9
2025-12-01,2025-12-14,187.8,202.2,193.6,193.8,186.1,185.6,191.0,194.5
2025-12-01,2025-12-21,186.8,201.3,192.1,191.5,183.3,183.9,189.2,193.0
2025-12-01,2025-12-28,184.5,200.4,189.5,188.5,181.4,182.2,188.0,191.4
2026-01-01,2026-01-04,182.0,200.4,188.3,187.0,180.6,181.4,187.5,190.0
2026-01-01,2026-01-11,178.7,198.2,186.5,185.7,178.1,179.4,186.3,188.5
2026-01-01,2026-01-18,176.1,196.1,185.6,184.4,176.8,178.1,186.1,187.4
2026-01-01,2026-01-25,175.1,195.8,184.1,183.0,176.3,176.8,185.5,186.1
2026-02-01,2026-02-01,174.4,194.4,182.9,181.9,175.3,176.2,184.1,185.6
2026-02-01,2026-02-08,173.7,189.7,181.6,181.0,174.9,176.2,183.1,185.3
2026-02-01,2026-02-15,173.9,186.9,179.8,181.1,175.1,176.1,182.6,184.1
2026-02-01,2026-02-22,174.1,186.9,179.2,180.5,175.0,175.8,182.5,182.1
2026-03-01,2026-03-01,175.4,187.0,180.3,181.9,175.6,176.7,183.6,183.2
2026-03-01,2026-03-08,197.4,198.9,195.3,199.4,192.1,190.5,199.5,198.6
2026-03-01,2026-03-15,247.2,246.4,244.1,245.9,245.1,244.3,247.0,245.3
2026-03-01,2026-03-22,282.1,282.5,282.1,281.7,280.6,279.2,281.6,279.9
2026-03-01,2026-03-29,309.1,309.1,309.0,310.3,308.9,305.4,308.0,307.8
2026-04-01,2026-04-05,310.6,308.5,311.8,310.2,308.8,309.0,309.5,306.1
2026-04-01,2026-04-12,316.0,317.7,317.9,318.3,318.2,315.4,319.3,316.6
2026-04-01,2026-04-19,304.1,302.6,306.1,308.7,304.3,301.3,305.6,302.1
2026-04-01,2026-04-26,268.5,277.0,274.1,271.3,266.8,263.3,274.6,266.8
2026-05-01,2026-05-03,246.9,268.5,253.0,250.6,243.9,243.1,253.4,251.5
2026-05-01,2026-05-10,239.9,265.3,247.1,243.9,238.9,236.2,247.7,247.2
2026-05-01,2026-05-17,231.0,260.1,239.1,233.8,229.9,222.9,240.8,236.2
2026-05-01,2026-05-24,225.8,258.3,232.7,228.5,224.5,217.3,236.2,230.4
2026-05-01,2026-05-31,219.3,248.1,225.5,223.4,217.5,211.6,229.0,226.5
2026-06-01,2026-06-07,204.7,221.8,213.3,212.4,206.0,201.0,210.3,219.4
2026-06-01,2026-06-14,197.2,214.4,206.3,205.1,201.3,194.7,199.2,215.0
2026-06-01,2026-06-21,189.3,203.0,195.4,195.9,194.0,188.0,192.5,205.6
2026-06-01,2026-06-28,177.3,196.2,180.9,181.7,180.3,174.3,182.0,192.6
2026-07-01,2026-07-05,180.5,193.4,181.8,182.9,181.4,177.7,182.5,195.9
2026-07-01,2026-07-12,185.8,200.3,187.7,188.2,187.2,182.8,188.9,199.1
2026-07-01,2026-07-19,197.7,201.3,199.2,200.0,196.3,193.4,200.0,204.2
2026-07-01,2026-07-26,217.8,221.9,220.5,219.4,218.1,212.4,221.3,221.4
2026-08-01,2026-08-02,233.2,239.7,237.0,234.6,234.0,227.1,239.5,237.6
2026-08-01,2026-08-09,244.4,253.9,250.6,247.7,247.3,241.4,253.1,251.9
2026-08-01,2026-08-16,239.9,244.8,244.9,245.0,241.5,238.1,250.0,248.9
2026-08-01,2026-08-23,242.9,251.7,248.5,247.9,244.9,242.2,251.9,251.0
2026-08-01,2026-08-30,248.0,259.9,253.1,252.8,249.4,246.2,256.8,255.2
2026-09-01,2026-09-06,248.7,261.7,253.3,252.8,250.0,245.8,258.3,254.6
